iter	Logloss
0	0.5319974118
1	0.4412912223
2	0.3889159599
3	0.3528473038
4	0.3322378932
5	0.3178062421
6	0.3086234608
7	0.3015702979
8	0.2963794163
9	0.2925091973
10	0.289684199
11	0.2879564336
12	0.2862650166
13	0.2849266825
14	0.283795855
15	0.2828861625
16	0.2820494452
17	0.2811853492
18	0.2805148489
19	0.279801182
20	0.27919261
21	0.278752847
22	0.2785109907
23	0.2781828643
24	0.2778656825
25	0.2775977219
26	0.2772614854
27	0.276985003
28	0.2765056794
29	0.2762416453
30	0.2757341489
31	0.27557513
32	0.2753169128
33	0.275102297
34	0.2748673704
35	0.2744500334
36	0.2742832102
37	0.2740352162
38	0.2738298084
39	0.2734432411
40	0.2729242117
41	0.2727149086
42	0.2724084242
43	0.2722171778
44	0.2718373998
45	0.2716004412
46	0.2714643064
47	0.2711584514
48	0.2710415163
49	0.270393058
50	0.2699113635
51	0.2698595736
52	0.2696832676
53	0.2695041566
54	0.2692411881
55	0.2689391412
56	0.2686161584
57	0.2684568961
58	0.2682961232
59	0.2681192379
60	0.2677281501
61	0.2674099036
62	0.2671456353
63	0.2668440242
64	0.2665831752
65	0.2664238382
66	0.2663085617
67	0.2660983118
68	0.2657921074
69	0.2656345392
70	0.265222194
71	0.2648865156
72	0.2645069933
73	0.2643684191
74	0.2640777462
75	0.2638900071
76	0.2635475458
77	0.2632475407
78	0.2630901055
79	0.2628738288
80	0.2627045448
81	0.2625623182
82	0.2624322774
83	0.2623261095
84	0.2622117888
85	0.2620966259
86	0.2618142043
87	0.261185195
88	0.2609528038
89	0.2607140089
90	0.2605122867
91	0.2602033779
92	0.2596640848
93	0.2593590974
94	0.2589626505
95	0.2588337724
96	0.2584536538
97	0.2583028039
98	0.2581368657
99	0.2578042139
100	0.2576185158
101	0.2574065626
102	0.2569217785
103	0.2565644712
104	0.2561071326
105	0.2557063046
106	0.2552327786
107	0.2548835421
108	0.2546497744
109	0.2543493634
110	0.2541885121
111	0.254043685
112	0.2537269486
113	0.2533979108
114	0.2532191423
115	0.2526170362
116	0.2523460846
117	0.2521185304
118	0.2518494326
119	0.2513209583
120	0.2508223507
121	0.250586838
122	0.2502721538
123	0.2501794006
124	0.2500123746
125	0.2498884658
126	0.2495731588
127	0.2492308942
128	0.2490349143
129	0.2489204263
130	0.2486090286
131	0.2481776808
132	0.2477446528
133	0.2474238752
134	0.2471791562
135	0.2469346237
136	0.2465971251
137	0.246350834
138	0.2461882163
139	0.2456480145
140	0.2454433031
141	0.2452620593
142	0.2449003298
143	0.2446583988
144	0.2444266681
145	0.2442561891
146	0.2442218732
147	0.243821262
148	0.2433423285
149	0.2430259117
150	0.2425720954
151	0.2423978171
152	0.2421757281
153	0.241914474
154	0.2416071293
155	0.2412279933
156	0.2410157938
157	0.2405457948
158	0.2403894776
159	0.239868926
160	0.2397838214
161	0.2394385022
162	0.2390947879
163	0.2387659627
164	0.2383934599
165	0.2380095845
166	0.2377398495
167	0.2373466189
168	0.2371788555
169	0.2369089285
170	0.2364616133
171	0.2362338894
172	0.2360853556
173	0.2358910657
174	0.2357090365
175	0.2353285533
176	0.2350570924
177	0.2347351968
178	0.2344650583
179	0.2342980119
180	0.2340603659
181	0.233923761
182	0.2336933632
183	0.2334256533
184	0.2329534828
185	0.2327670417
186	0.232316596
187	0.2320839018
188	0.2317590806
189	0.2315106548
190	0.2312376809
191	0.23110415
192	0.2308163719
193	0.2306919624
194	0.2304240755
195	0.2301716272
196	0.2300217957
197	0.2297970876
198	0.2295846897
199	0.2293115753
200	0.2290272027
201	0.2284904257
202	0.2283380149
203	0.2280125585
204	0.2278217923
205	0.2275340004
206	0.2271535263
207	0.2270162323
208	0.2267158533
209	0.2263956766
210	0.2261400544
211	0.2256934479
212	0.2254216599
213	0.2249607121
214	0.2246737061
215	0.2244673747
216	0.2241672105
217	0.224013204
218	0.223814143
219	0.223517891
220	0.2231617445
221	0.2228559596
