iter	Logloss
222	0.2227162239
223	0.2224065275
224	0.2219803535
225	0.2217679525
226	0.2216289518
227	0.2213668376
228	0.2212024083
229	0.2208308374
230	0.2205259382
231	0.2201250814
232	0.2198410729
233	0.2195374704
234	0.2192626986
235	0.2191579742
236	0.2189184924
237	0.2187634395
238	0.2185923531
239	0.2184489773
240	0.2181060988
241	0.2176879334
242	0.2174114686
243	0.2170720589
244	0.216744782
245	0.2166399844
246	0.216532804
247	0.2163778233
248	0.2162628012
249	0.2159280115
250	0.2155828788
251	0.2154253202
252	0.2152424003
253	0.2149653203
254	0.2146379591
255	0.2141984408
256	0.21388336
257	0.2136418616
258	0.2134738423
259	0.2134089578
260	0.2132884447
261	0.2130989316
262	0.2128450176
263	0.212735229
264	0.212561114
265	0.212141085
266	0.2119134031
267	0.2114309062
268	0.2112848548
269	0.2111361348
270	0.2107898625
271	0.2105223488
272	0.2101421961
273	0.2098983447
274	0.2097395242
275	0.2095583727
276	0.2093644998
277	0.2091201405
278	0.2088365131
279	0.2087640898
280	0.2084689297
281	0.2082952817
282	0.2081823793
283	0.2080869181
284	0.2079671788
285	0.2076831096
286	0.2074882239
287	0.207285789
288	0.2071149273
289	0.2069646313
290	0.2067409927
291	0.2064419345
292	0.2063279717
293	0.2062235298
294	0.2058470022
295	0.2055458496
296	0.2053342798
297	0.2051426349
298	0.2048797266
299	0.2045511542
300	0.2043163682
301	0.2040417752
302	0.2038300274
303	0.2035705901
304	0.2035304822
305	0.2032490439
306	0.2029187302
307	0.2027063698
308	0.2024810857
309	0.2022565379
310	0.2021640412
311	0.2018915369
312	0.2015357485
313	0.201477008
314	0.2012472952
315	0.2009617053
316	0.2006661637
317	0.2004807726
318	0.2002890032
319	0.200237669
320	0.1999303042
321	0.1995768658
322	0.1993498053
323	0.1992075811
324	0.1990518013
325	0.1988879514
326	0.1987787524
327	0.1985302534
328	0.1982866001
329	0.1982221549
330	0.1981145511
331	0.1979311631
332	0.1978252785
333	0.197687204
334	0.1975093679
335	0.1974149117
336	0.1973695115
337	0.1970355884
338	0.1967379782
339	0.1964699099
340	0.1961655009
341	0.1960490534
342	0.1958278499
343	0.1955280189
344	0.1952866413
345	0.1951615552
346	0.1950465034
347	0.1948858788
348	0.1947485389
349	0.1946470854
